airport,pagerank
ORD,0.09625469049615382
DEN,0.08740553735434597
ATL,0.07405720254848548
DFW,0.061829115899825156
LAS,0.05667735543524842
MCO,0.055060587572804916
LAX,0.05472451163150605
EWR,0.052959942933778835
IAH,0.05221747274704445
MSP,0.05032503930467187
PHX,0.04981296689934806
CLT,0.045420828181763746
SEA,0.04327306811528369
DTW,0.042125086290407496
MIA,0.04137645596382581
IAD,0.04095681787017883
PHL,0.0404118040636846
ANC,0.03853384521417072
BET,0.038005114690897374
FLL,0.03680704894259163
SLC,0.036148535023825853
SFO,0.03601291260182751
TPA,0.034478233131599256
BOS,0.034042432940156846
MEM,0.03394942046777971
BNA,0.033623438986102636
SDF,0.03354988692708931
AUS,0.03195433793193305
FAI,0.029356039940742547
JFK,0.029112054224098502
LGA,0.027527086550282343
BWI,0.027408605461286373
IND,0.027326230555819234
DCA,0.025192086556836205
PDX,0.024679792828540766
CVG,0.024406289549890894
WFB,0.023367782171652453
STL,0.02286658705249026
SAN,0.022666044580065825
RSW,0.022627905232052718
MSY,0.02222133361289117
MDW,0.02046010218243594
PIT,0.020242622771545562
DAL,0.019187687211951677
RDU,0.01894839127305454
MCI,0.018381579330700833
SAT,0.01802826399161447
OAK,0.017762438323303785
CLE,0.016702403803615005
ONT,0.01562802167246078
CMH,0.015539513880875721
OME,0.015264839590173069
HOU,0.01497482690648309
PBI,0.014756501049070184
JAX,0.01456141837393452
HNL,0.014080486943103713
SJC,0.013994537263640777
MKE,0.013840029634651963
SJU,0.013810762907301589
SMF,0.013438346559417325
BDL,0.013273855047211893
SFB,0.012008328193899645
CHS,0.011759291737431862
SRQ,0.011753043096570225
OMA,0.011579772130834193
OKC,0.01140151918981061
BUF,0.011397899999055845
HPN,0.01070182672798343
A43,0.010540884966388438
RNO,0.010295861291902984
JNU,0.009981649566374933
ABQ,0.009834738842205915
SNA,0.009794192218607691
TUS,0.009626286062726617
RIC,0.009558326190715827
GEG,0.009443762582457405
OTZ,0.009438981129198526
VNY,0.009437645487660783
AZA,0.00940457354090681
ELP,0.00922462859343431
DSM,0.009058465801187425
ORF,0.009056560578596938
PIE,0.008836393492098873
SYR,0.008741922940304517
TEB,0.008728758137172825
GRR,0.008653877768524073
BOI,0.008611871524574275
OGG,0.00842249023593671
ADQ,0.00825907638006993
TUL,0.00819012030498994
PSP,0.008135587191605448
BUR,0.008120158510055554
KTB,0.00811691258681303
TYS,0.008067690130013285
PVD,0.007735604304686772
SAV,0.007542756907268484
ANI,0.00745903958128541
KSM,0.0073739986527961805
YIP,0.007339259576123704
GSO,0.007310985501082553
ALB,0.007266924017150841
UNK,0.007108816605811278
AKN,0.007058356770348584
ICT,0.006972356283379159
GSP,0.006861339272496139
ROC,0.006846835045871446
BZN,0.006827967673543514
ACY,0.006738109668328763
EMK,0.006701814979825638
MYR,0.006666451010183621
AFW,0.006654097796782574
BHM,0.006418280757069768
MDT,0.006336356475435133
KOA,0.006182359751413489
RFD,0.006181531252227521
LRD,0.006070257287374169
LIT,0.0060244939916445995
MSN,0.005762996922689668
CID,0.005748500177510771
XNA,0.005598372382648945
IFP,0.005471604410266036
MQY,0.005456332515333734
COS,0.005387713994265562
GPT,0.005377212662189606
PGD,0.0053589387185758374
LKE,0.005189201946459943
DLG,0.005178768404666399
PNS,0.005148919716524718
FAT,0.005130306858285292
CAE,0.005006933121367557
BRW,0.004941350513492445
FSD,0.004863707053213878
DAY,0.004735260174474048
ILI,0.00471983235390421
LGB,0.004703536392944006
SCC,0.004684470277940946
SBA,0.004644281937879215
KOT,0.004607317547143175
BED,0.004384969153728116
MOU,0.004369616392789479
PWM,0.004289461724405901
BTV,0.004273194242784717
AEX,0.004260158835157345
FAR,0.004184851336853624
JAC,0.004183350998456534
HRL,0.004161746258794141
GAL,0.004099715927636004
WST,0.00406229220103449
BID,0.00406229220103449
STT,0.004039583748296449
OPF,0.003945750305030225
LEX,0.003891244618105344
KEH,0.0038762881671880194
SPN,0.003836367511123776
AVL,0.0038339986051620753
MHT,0.0038308379010144693
BIL,0.0038217895340324866
SCM,0.0038185950448990607
ABE,0.0038029661621839525
RSH,0.003793363331626995
CGA,0.00378119314470554
KXA,0.00378119314470554
FWA,0.003758109901869095
PQS,0.003756215820826391
EYW,0.003741648412597851
EDA,0.0036954530655771505
HSV,0.003674232638839543
VPS,0.003631293740190624
SHV,0.0036121109040370037
SBN,0.0035712184767780126
ECP,0.003524785993503181
SIT,0.0035047887442095724
